#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
x|K;&c]P~E	TopicCloze	Active::ProgrammingGeneral::Windows	Type {{c1::cmd}} in file broswer's {{c2::address bar}} to open a cmd in that directory	win				<div>&nbsp;Windows: Type cmd in file broswer to open a cmd in that directory</div>	ToCards_01_03_25.odt
l(!BJ6gf^z	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">const {{c1::extension}}=<br>vscode.{{c2::extensions}}.{{c3::getExtension}}('vscode.git')?.{{c4::exports}};</span>"	vscode				"<pre>&nbsp;const gitExtension =
vscode.extensions.getExtension('vscode.git')?.exports;</pre>"	ToCards_01_03_25.odt
DA<-g[Csl|	TopicCloze	Active::ProgrammingGeneral::javascript	"generate vs code extension<br><br><span class=""code"">yo code</span>"	<div>yeoman</div>				"Using Yeoman to
generate vs code extensions<br><br>
npm install --global
yo generator-code
<br>
--
<br>
Yeoman: generate vs
code extension <br><br>

yo code"	ToCards_01_03_25.odt
muQJV9F!=C	TopicCloze	Active::ProgrammingGeneral::javascript	"How to install Yeoman<br><br><span class=""code"">npm {{c3::install}} --global {{c1::yo}} {{c2::generator-code}}</span>"	yeoman				"Using Yeoman to
generate vs code extensions<br><br>
npm install --global
yo generator-code
<br>
--
<br>
Yeoman: generate vs
code extension <br><br>

yo code"	ToCards_01_03_25.odt
nVv!@!g>%G	TopicCloze	Active::ProgrammingGeneral::VSCode	<div>VScode Ext: press {{c1::F5}} to {{c2::test ext in new window}}</div>	vscode				"<br><div>VScode Ext: F5 to
test extension in new vs code window</div><br>"	ToCards_01_03_25.odt
n}m]F<eSq<	TopicCloze	Active::ProgrammingGeneral::git	"<span class=""code"">git add ""file path"" {{c1::-p}}</span><br>git {{c2::patch mode}}. Allows you to stage&nbsp;{{c3::parts of a file}}"	git				"git add -p

git patch. Allows you to stage parts of a file

–

“I only want to stage parts of this file”

git add “file path” -p"	toCards_01_04_25.odt
v}$b`~IlkB	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">~~(someVar)</span> <br><br>""~~"" is a way of conterting var to {{c1::an int}}"	js				The ~~ operator in JavaScript is a shorthand for converting a number to an integer<br>	ToCards_01_05_25.odt
B0~^]x0q!s	TopicCloze	"Active::ProgrammingGeneral::C#"	"creating and passing a string array to a method<br><br><span class=""code"">YourMethod({{c2::new}} {{c1::string[]}} {{c3::{}} ""value1"", ""value2"", ""value3"" {{c3::} }});</span>"	"C#"				"C#: YourMethod(new string[] { ""value1"", ""value2"", ""value3"" });

couldn’t make a string array for a argument	"	ToCards_01_05_25.odt
fM4WD_go`h	ExCloze	Active::ProgrammingGeneral	{{c1::Lazily loaded}} usually means {{c2::not loaded}} {{c3::until needed}}	<pre>Lazily loaded usually means not actually loaded until needed</pre>	ToCards_01_07_25.odt				
s~|nL&l8j	TopicCloze	Active::ProgrammingGeneral::JD	I’m setting {{c2::parentBuff}} in {{c1::buffhandler}}	JD				JD: I’m setting parentBuff in buffhandler	ToCards_01_07_25.odt
u}_*1?D~sF	TopicCloze	Active::ProgrammingGeneral::VSCode	{{c1::Ctrl + shift + e}}<br>swaps {{c2::between sidebar}} and the {{c3::text editor window}}	vscode				Vscode: Ctrl + shift + e swaps between sidebar and the text editor window	ToCards_01_08_25.odt
x;2|aArNF.	TopicCloze	Active::ProgrammingGeneral::VSCode	{{c1::ctrl + f }} to find or {{c6::h}} to replace then..<br>{{c2::alt + c}} for {{c3::case}} {{c4::alt + w}} for match {{c5::word}}	vscode				vscode: ctrl +f to find or h to replace then.. alt + c for case alt + w for match word	ToCards_01_08_25.odt
B?oy0[Ei7a	TopicCloze	Active::ProgrammingGeneral::JD	AbilityEff_V2 {{c1::network serialization}}:<br>- Save {{c2::type}} as {{c3::string}}, send it over<br>- Call that type's {{c6::OnWrite()}}<br>- On the other side, read it and instantiate {{c4::type}}.<br>- Call that type's {{c5::OnRead()}}	JD				The way AbilityEff_V2 network serialization works is we save the type as a string, send it over, and then on the other side we read it and instantiate a new one. Then set the values appropriately.&lt;	ToCards_01_08_25.odt
NWh2)Agpf8	ExCloze	Active::ProgrammingGeneral::JD	JD when {{c1::cloning}} AbilityEff_V2 if you have {{c2::ref type}} fields keep in mind… {{c3::explictly make a hard copy}}	"<div>&nbsp;JD when cloning AbilityEff_v2 if you have reference type fields keep
in mind…</div>
<div>The copy will just
be another pointer to that object not a hard copy.</div>"	ToCards_01_10_25.odt				
i%9N7G2)IL	ExCloze	Active::ValyParent::Inflection::Declension::Notes	{{c1::'y'}} {{c5::Nouns}} {{c3::'m'}} in {{c4::Ins}}.<br>{{c5::Adjs}} retain the s.	"<div>&nbsp;Valy: Declining words that end in y, think “is this a adj or a
noun”</div>
<div><br>
</div>
<div>The nouns are
usually double m for Ins/Com. Adjs retain the s.</div>"	ToCards_01_10_25.odt				
s*&W]i-/e(	TopicCloze	"Active::ProgrammingGeneral::C#"	"<span class=""code"">{{c1::Activator.CreateInstance()}}</span><br><br>use to create an {{c2::instance}} from a {{c3::type}}"	"C#"				Activator.CreateInstance use to create an instance from a type	ToCards_01_12_25.odt
kKx<.7|5Gd	TopicCloze	Active::ProgrammingGeneral::Unity	"<span class=""code"">{{c1::[SerializeReference]}} </span> cannot serialize objects the derive form {{c2::UnityEngine.Object}}"	unity				Serialize reference cannot serialize objects the derive form Unity.Object	toCards_01_12_25.odt
pr*K}.%ytL	ExCloze	Active::ValyParent::Notes	Illicit Aequence:<br>{{c2::jr}} <br>simplifies to {{c1::j}}.	<em>jr</em> sequence is illicit in High Valyrian, and so simplifies to <em>j</em>.	ToCards_01_16_25.odt				
"InyVs#G.:+"	ExCloze	Active::ValyParent::Notes	Illicit Aequence:<br>{{c2::hr}} <br>becomes {{c1::rh}}.	"<span><em>hr</em> is not a licit sequence of High Valyrian always becomes rh<br>
<em>ñuhra</em> -&gt; <em>ñurha</em> </span>"	ToCards_01_16_25.odt				
Jxv`~[9BA4	ExCloze	Active::ValyParent::Notes::Misc	Terrestrial nouns refer to {{c1::places}}, {{c2::inanimate objects}}, or {{c3::abstract ideas}}	Most terrestrial nouns refer to places, inanimate objects, or abstract ideas or actions.	ToCards_01_16_25.odt				
d{S<i$)pD3	ExCloze	Active::ValyParent::Notes	ñuhyz jentyssy -&gt; ñuhy<b>s</b> tubissa<br>when preceeding {{c1::voiceless stops}}	"<div><em>k</em>, <em>p</em>, <em>s</em>, or <em>t</em>. <br>
<br>
<br>
ñuhyz jentyssy -&gt; ñuhy<b>s</b> tubissa but only when preceeding</div>"	ToCards_01_16_25.odt				
t4ei^MJ1nQ	ExCloze	Active::ValyParent::Notes	in Duo Lingo, {{c1::c-fin vocieless stop}} words use<br>non-standard {{c2::-is}} instead of {{c2::-si}} for plural.<br>{{c3::Ignore corrections}}.	"<div>
  
</div>in duo lingo c-fin vocieless stop words tend to use the non-standard -ie instead of -si for plural. Be aware of it and ignore corrections.<span></span><span></span>"	ToCards_01_16_25.odt				
L*rKo?u>Q;	ExCloze	Active::ValyParent::Inflection::Declension::Notes	{{c2::on}} {{c1::(nouns)}}, {{c3::os}}, {{c4::io}}, {{c5::ion}}<br>get {{c6::s in Com}} usually<br><br>{{c7::adjs.}} retain {{c8::Ins/Com forms}}.	"<pre>on (nouns), os, io, ion get s in ins and com usually

adj. retain both Ins/Com forms. Not joined</pre><div></div><div></div>"	ToCards_01_16_25.odt				
eg4DeS8|Z3	TopicCloze	Active::ProgrammingGeneral::CSS	1em == {{c1::size of the font used}}	css				<pre>40em. in css <strong>1em</strong> equals the size of the font used in the element. </pre>	ToCards_01_17_25.odt
